uid	name	q	description	common_name	last_updated	family	short_description

170	Bibio marci	provide a complete scientific and natural history summary of Bibio marci, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bibio marci, commonly called the March fly, is a member of the family Bibionidae found across Europe. Adults emerge in early spring and are known for their hovering swarms. Larvae live in the soil and feed on decaying roots and organic debris. This species plays a role in nutrient recycling and soil aeration.	March fly	2025-07-09 19:57:28	Bibionidae	European March fly with larvae that live in soil and feed on decaying roots and plant matter.

171	Biton zederbaueri	provide a complete scientific and natural history summary of Biton zederbaueri, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	A camel spider from arid regions of north africa, Biton zederbaueri is a fast-moving nocturnal predator. It uses powerful chelicerae to subdue prey including insects and small arthropods. Non-venomous but formidable, it contributes to regulating desert invertebrate populations.	Biton camel spider	2025-07-14 16:28:01	Daesiidae	A camel spider from arid regions of North Africa, Biton zederbaueri is a fast-moving nocturnal predator

172	Bittacus occidentis	provide a complete scientific and natural history summary of Bittacus occidentis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bittacus occidentis is a north american hangingfly that inhabits wooded and meadow ecosystems. As a member of the order mecoptera, it captures small insects by grasping vegetation with its elongated legs and imbibing prey fluids. Adults are most active in late spring and summer, often seen perched on leaves awaiting prey.	Western bittacus	2025-07-09 19:57:28	Bittacidae	As a member of the order mecoptera, it captures small insects by grasping vegetation with its elongated legs and imbibing prey fluids.

173	Bittacus pilicornis	provide a complete scientific and natural history summary of Bittacus pilicornis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bittacus pilicornis, commonly known as the Pale Crane Fly or hairy-horned hangingfly, is a predatory insect in the family Bittacidae. Despite its name, it is not a true crane fly but belongs to the order Mecoptera. This species is characterized by its slender, pale yellow to light red body, long legs, and two pairs of narrow, membranous wings. The wings are typically yellow without margined crossveins, and the pterostigma is also yellow. A distinguishing feature is its plumose (hairy) antennae. Though it resembles crane flies, it can be differentiated by its two pairs of wings and absence of halteres.	Pale crane fly	2025-07-09 20:01:33	Bittacidae	Predatory hangingfly with long legs and plumose antennae, known for offering nuptial prey gifts.

174	Bittacus stigmaterus	provide a complete scientific and natural history summary of Bittacus stigmaterus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bittacus stigmaterus is a species of hangingfly in the family Bittacidae, native to North American woodlands and meadows. Despite its resemblance to crane flies, it is a predator that hangs from stems or leaves using its forelegs, ambushing small insects with its raptorial hind legs. This sit-and-wait strategy allows it to capture prey midair or from nearby vegetation.	Spotted bittacus	2025-07-09 19:57:28	Bittacidae	Despite its resemblance to crane flies, it is a predator that hangs from stems or leaves using its forelegs, ambushing small insects with its raptorial hind legs.

175	Bittacus strigosus	provide a complete scientific and natural history summary of Bittacus strigosus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Closely related to other hangingflies, Bittacus strigosus is a slender predatory insect found in north american woodlands and meadows. It displays elaborate mating behaviors and feeds on soft-bodied insects while suspended from foliage.	Striped bittacus	2025-07-09 19:57:28	Bittacidae	Closely related to other hangingflies, Bittacus strigosus is a slender predatory insect found in North American woodlands and meadows

176	Blaptica dubia	provide a complete scientific and natural history summary of Blaptica dubia, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Blaptica dubia, the dubia roach, is a tropical cockroach species native to central and south america. It thrives in warm, humid environments, feeding on fruits, vegetables, and decaying organic matter. Flightless and robust, adults reach up to 35 mm and exhibit sexual dimorphism in wing development.	Dubia roach	2025-07-09 19:57:28	Blaberidae	The Dubia roach, is a tropical cockroach species native to Central and South America

177	Blatta orientalis	provide a complete scientific and natural history summary of Blatta orientalis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Blatta orientalis, the oriental cockroach, is a dark, glossy species commonly found in damp, cool environments like basements and drains. It is considered a household pest due to its association with filth and potential to spread bacteria.	Oriental cockroach	2025-07-09 19:57:28	Blattidae	The oriental cockroach, is a dark, glossy species commonly found in damp, cool environments like basements and drains

178	Blattella germanica	provide a complete scientific and natural history summary of Blattella germanica, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Blattella germanica, the german cockroach, is a highly adaptable indoor pest that reproduces rapidly and feeds on a wide range of food residues. It is a vector of allergens and contaminants in urban environments.	German cockroach	2025-07-09 19:57:28	Blattellidae	The German cockroach, is a highly adaptable indoor pest that reproduces rapidly and feeds on a wide range of food residues

179	Blepharopsis mendica	provide a complete scientific and natural history summary of Blepharopsis mendica, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Blepharopsis mendica, the egyptian flower mantis, inhabits arid and semi-arid regions of north africa and the middle east. With its slender body and flower-like posture, it camouflages among blossoms to ambush pollinating insects. It preys on flies, bees, and other small insects, and its life cycle is synchronized with seasonal floral blooms.	Egyptian flower mantis	2025-07-09 19:57:28	Empusidae	The Egyptian flower mantis, inhabits arid and semi-arid regions of North Africa and the Middle East

180	Blissus leucopterus	provide a complete scientific and natural history summary of Blissus leucopterus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Commonly known as the true chinch bug, Blissus leucopterus is a destructive herbivorous insect that feeds on cereal crops and turf grasses. Using piercing-sucking mouthparts, it extracts sap from plant stems, disrupting nutrient flow. Heavy infestations cause yellowing, withering, and death of grasses, particularly in dry conditions where their populations can rapidly increase.	White winged stink bug	2025-07-09 19:57:28	Blissidae	Commonly known as the true chinch bug, Blissus leucopterus is a destructive herbivorous insect that feeds on cereal crops and turf grasses

181	Boerias maculata	provide a complete scientific and natural history summary of Boerias maculata, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Boerias maculata is an assassin bug species native to south africa. It inhabits savannas and forest margins, where it ambushes small arthropods. Using its robust rostrum, it injects digestive enzymes into prey for external digestion. Nocturnal and cryptic, it plays a role in controlling insect populations.	Spotted assassin bug	2026-03-05 22:08:36	Pentatomidae	This South African assassin bug preys on other insects, using a sharp proboscis to inject venom and immobilize its prey among vegetation.

182	Bombus impatiens	provide a complete scientific and natural history summary of Bombus impatiens, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bombus impatiens, the common eastern bumblebee, is a social pollinator native to eastern north america. Workers and queens forage on a wide variety of flowering plants, transferring pollen with their branched body hairs. Colonies nest underground or in cavities, with annual life cycles. Bombus impatiens is important for both wild ecosystems and greenhouse crop pollination.	Common eastern bumble bee	2025-07-09 19:57:28	Apidae	The common eastern bumblebee, is a social pollinator native to eastern North America

183	Bombus terrestris	provide a complete scientific and natural history summary of Bombus terrestris, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bombus terrestris, the buff-tailed bumblebee, is a social pollinator native to europe and introduced elsewhere. Colonies nest underground or in cavities and can contain hundreds of workers. Workers and queens forage on a wide range of flowering plants, transferring pollen with their dense, branched hairs. This species is important for both wild ecosystems and greenhouse crop pollination.	Buff tailed bumblebee	2025-07-09 19:57:28	Apidae	The buff-tailed bumblebee, is a social pollinator native to Europe and introduced elsewhere

184	Bombyx mori	provide a complete scientific and natural history summary of Bombyx mori, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bombyx mori, the domesticated silkworm moth, has been bred for silk production for thousands of years. Larvae feed exclusively on mulberry leaves and spin silken cocoons composed of fibroin protein. Humans harvest and process these cocoons to produce silk textiles. Adults are flightless and rely on human cultivation.	Silkworm	2025-07-09 19:57:28	Bombycidae	The domesticated silkworm moth, has been bred for silk production for thousands of years

185	Boophilus microplus	provide a complete scientific and natural history summary of Boophilus microplus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Boophilus microplus, the southern cattle tick, is an ectoparasite of livestock that feeds on blood and transmits diseases such as babesiosis and anaplasmosis. It is a major pest in tropical and subtropical regions.	Southern cattle tick	2025-07-09 19:57:28	Ixodidae	The southern cattle tick, is an ectoparasite of livestock that feeds on blood and transmits diseases such as babesiosis and anaplasmosis

186	Boreus hyemalis	provide a complete scientific and natural history summary of Boreus hyemalis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Boreus hyemalis is a species of snow scorpionfly in the family Boreidae. It is one of the few insects active in winter, typically walking on snow in cold forested environments. Adults are wingless or have vestigial wings and feed on mosses and decaying plant material. This species is adapted to frigid temperatures and is notable for its unusual seasonal activity.	Northern snow scorpionfly	2025-07-09 19:57:28	Boreidae	Snow scorpionfly active in winter; wingless and found on snow-covered ground.

187	Boreus westwoodi	provide a complete scientific and natural history summary of Boreus westwoodi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Boreus westwoodi is a wingless snow scorpionfly native to north america. It is active on snow surfaces during winter, feeding on moss fragments and detritus. Belonging to the family boreidae, it uses powerful hind legs to hop across snowfields, and its lifecycle is synchronized with cold temperatures.	Western snow scorpionfly	2025-07-09 19:57:28	Boreidae	Belonging to the family boreidae, it uses powerful hind legs to hop across snowfields, and its lifecycle is synchronized with cold temperatures.

188	Bourletiella hortensis	provide a complete scientific and natural history summary of Bourletiella hortensis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bourletiella hortensis, the garden springtail, is a tiny hexapod that inhabits soil, leaf litter, and garden mulch in temperate regions worldwide. It uses a forked appendage called a furcula to jump when disturbed. Feeding on decaying organic matter, fungi, and bacteria, it plays a key role in decomposition and soil health.	Garden springtail	2025-07-09 19:57:28	Bourletiellidae	The garden springtail, is a tiny hexapod that inhabits soil, leaf litter, and garden mulch in temperate regions worldwide

189	Boyeria vinosa	provide a complete scientific and natural history summary of Boyeria vinosa, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Boyeria vinosa, the fawn darner, is a chunky dragonfly found along large rivers and streams in north america. Males have brownish bodies with subtle yellow markings. Nymphs develop in sedge-lined banks, preying on small aquatic insects. Adults patrol territories along watercourses and feed on flying insects in open habitats.	Fawn darner	2025-07-09 19:57:28	Aeshnidae	The fawn darner, is a chunky dragonfly found along large rivers and streams in North America

190	Brachycybe lecontii	provide a complete scientific and natural history summary of Brachycybe lecontii, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Brachycybe lecontii is a fungivorous millipede found in moist, decaying logs within forested habitats. It primarily feeds on fungal hyphae, playing a role in wood decomposition and nutrient cycling. This species is also known for its unusual social behavior, forming aggregations during juvenile stages, which may provide protection or aid in moisture retention.	Feather millipede	2025-07-09 19:57:28	Andrognathidae	Fungivorous millipede found in moist, decaying logs within forested habitats

191	Brachypelma smithi	provide a complete scientific and natural history summary of Brachypelma smithi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Brachypelma smithi, the mexican redknee tarantula, is native to pacific coastal regions of mexico. It has a black body with red-orange leg joints, lives in burrows, and is nocturnal, feeding on insects and small vertebrates. This long-lived species is popular in the pet trade.	Mexican redknee tarantula	2025-07-09 19:57:28	Theraphosidae	It has a black body with red-orange leg joints, lives in burrows, and is nocturnal, feeding on insects and small vertebrates.

192	Bracon hebetor	provide a complete scientific and natural history summary of Bracon hebetor, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bracon hebetor is a small parasitic wasp in the family Braconidae, known for its role in biological control. It parasitizes the larvae of various moths, including pests such as Indian meal moth and flour moth. Females inject venom to paralyze the host before laying eggs on it. The developing wasp larvae feed externally on the immobilized host.	Hebe Braconid Wasp	2025-07-09 19:57:28	Braconidae	Parasitic braconid wasp that targets lepidopteran larvae; used in biological control.

193	Bradysia coprophila	provide a complete scientific and natural history summary of Bradysia coprophila, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	This species of dark-winged fungus gnat is often found in greenhouses, compost, and moist soils rich in decaying organic material. Larvae feed on fungi, plant roots, and decomposing matter, making it both a decomposer and an agricultural pest. Due to its well-characterized genome and rapid development, it is also used as a model organism in genetic research.	House plant gnat	2025-07-09 19:57:28	Sciaridae	Of dark-winged fungus gnat is often found in greenhouses, compost, and moist soils rich in decaying organic material

194	Bradysia impatiens	provide a complete scientific and natural history summary of Bradysia impatiens, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bradysia impatiens is a dark-winged fungus gnat in the family sciaridae that commonly inhabits greenhouses, nurseries, and indoor plant containers. Its larvae feed on decomposing organic matter and tender plant roots, particularly in moist, humus-rich soils. Infestations can cause significant root damage, leading to plant stress and vulnerability to disease. Adults are small, mosquito-like flies that are primarily nuisance pests, living only a few days. They play a role in organic matter decomposition but are also targeted in integrated pest management programs. B. Impatiens is a key species in studies of soil ecology and horticultural pest mitigation.	Dark-winged fungus gnat	2025-07-09 19:57:28	Sciaridae	Dark-winged fungus gnat in the family Sciaridae that commonly inhabits greenhouses, nurseries, and indoor plant containers

195	Branchinecta belki	provide a complete scientific and natural history summary of Branchinecta belki, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta belki is a rare fairy shrimp species endemic to high-altitude pools in the andes. It completes its lifecycle rapidly during brief wet seasons, producing diapause eggs that resist freezing and desiccation. It plays a crucial role in nutrient cycling in its ephemeral habitat.	Belk's fairy shrimp	2025-07-09 19:57:28	Branchinectidae	Rare fairy shrimp species endemic to high-altitude pools in the Andes

196	Branchinecta brushi	provide a complete scientific and natural history summary of Branchinecta brushi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta brushi is a high-altitude fairy shrimp species native to the andes of south america. It inhabits shallow, cold meltwater pools and has a rapid life cycle adapted to ephemeral conditions.	Brush's fairy shrimp	2025-07-09 19:57:28	Branchinectidae	High-altitude fairy shrimp species native to the Andes of South America

197	Branchinecta coloradensis	provide a complete scientific and natural history summary of Branchinecta coloradensis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta coloradensis, the colorado fairy shrimp, is a cold-adapted crustacean found in alpine and subalpine ponds. It emerges after snowmelt and completes its life cycle in a short seasonal window.	Colorado fairy shrimp	2025-07-09 19:57:28	Branchinectidae	The Colorado fairy shrimp, is a cold-adapted crustacean found in alpine and subalpine ponds

198	Branchinecta ferox	provide a complete scientific and natural history summary of Branchinecta ferox, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta ferox is a large fairy shrimp species found in temporary freshwater pools of europe and asia. It is an opportunistic feeder and has a rapid, short-lived life cycle triggered by seasonal rains.	Desert fairy shrimp	2025-07-09 19:57:28	Branchinectidae	Large fairy shrimp species found in temporary freshwater pools of Europe and Asia

199	Branchinecta gigas	provide a complete scientific and natural history summary of Branchinecta gigas, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta gigas, the giant fairy shrimp, is one of the largest known fairy shrimp species. It inhabits ephemeral pools in western north america and feeds by filtering plankton and detritus from the water.	Giant fairy shrimp	2025-07-09 19:57:28	Branchinectidae	The giant fairy shrimp, is one of the largest known fairy shrimp species

200	Branchinecta hiberna	provide a complete scientific and natural history summary of Branchinecta hiberna, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Adapted to cold, ephemeral pools, this fairy shrimp hatches from drought-resistant eggs during winter rains in western north america. It swims belly-up, using its phyllopodous legs to filter-feed on algae and detritus. Its life cycle is synchronized with the brief availability of water, completing development quickly before the pools dry.	Winter fairy shrimp	2025-07-09 19:57:28	Branchinectidae	Adapted to cold, ephemeral pools, this fairy shrimp hatches from drought-resistant eggs during winter rains in western North America

201	Branchinecta lindahli	provide a complete scientific and natural history summary of Branchinecta lindahli, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta lindahli, or lindahl s fairy shrimp, inhabits seasonal pools and playas in the western united states. It has a broad range and flexible life history adapted to variable desert precipitation.	Versatile fairy shrimp	2025-07-21 17:42:15	Branchinectidae	Or Lindahl s fairy shrimp, inhabits seasonal pools and playas in the western United States

202	Branchinecta longiantenna	provide a complete scientific and natural history summary of Branchinecta longiantenna, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta longiantenna, the longhorn fairy shrimp, is a federally endangered species found only in a few vernal pools in california. It is distinguished by its elongated second antennae and rapid seasonal development.	Longhorn fairy shrimp	2025-07-09 19:57:28	Branchinectidae	The longhorn fairy shrimp, is a federally endangered species found only in a few vernal pools in California

203	Branchinecta lynchi	provide a complete scientific and natural history summary of Branchinecta lynchi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta lynchi, the vernal pool fairy shrimp, is a federally threatened species native to ephemeral wetlands of california and southern oregon. It hatches with winter rains and matures quickly in seasonal pools.	Vernal pool fairy shrimp	2025-07-09 19:57:28	Branchinectidae	The vernal pool fairy shrimp, is a federally threatened species native to ephemeral wetlands of California and southern Oregon

204	Branchinecta mackini	provide a complete scientific and natural history summary of Branchinecta mackini, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta mackini is a freshwater fairy shrimp found in temporary vernal pools of western north america. Its eggs survive dry periods in the sediment and hatch when pools refill. Adults swim upside down, filter-feeding on algae and microorganisms, and serve as key food sources for amphibians and waterfowl.	Alkali fairy shrimp	2025-07-09 19:57:28	Branchinectidae	Freshwater fairy shrimp found in temporary vernal pools of western North America

205	Branchinecta mexicana	provide a complete scientific and natural history summary of Branchinecta mexicana, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta mexicana is a fairy shrimp species occurring in high-altitude, ephemeral pools in mexico. It survives dry seasons through drought-resistant cysts buried in pond substrate. Adults swim upside down, filter-feeding on algae and plankton. Their synchronous hatch and rapid maturation make them key components of temporary aquatic food webs.	Mexican fairy shrimp	2025-07-09 19:57:28	Branchinectidae	Fairy shrimp species occurring in high-altitude, ephemeral pools in Mexico

206	Branchinecta packardi	provide a complete scientific and natural history summary of Branchinecta packardi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta packardi, known as packard s fairy shrimp, inhabits temporary freshwater pools in western north america. It completes its lifecycle rapidly during pool presence, with eggs capable of diapause lasting years. Adults swim on their backs, filter-feeding on algae and detritus, and serve as key food sources for migratory birds.	Packard fairy shrimp	2025-07-21 17:42:15	Branchinectidae	Known as Packard s fairy shrimp, inhabits temporary freshwater pools in western North America

207	Branchinecta paludosa	provide a complete scientific and natural history summary of Branchinecta paludosa, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta paludosa is an arctic and subarctic fairy shrimp that inhabits tundra ponds. It is one of the northernmost-distributed fairy shrimp species, with a life cycle adapted to short summers and cold water.	Shallow fairy shrimp	2025-07-09 19:57:28	Branchinectidae	N Arctic and subarctic fairy shrimp that inhabits tundra ponds

208	Branchinecta raptor	provide a complete scientific and natural history summary of Branchinecta raptor, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta raptor is a predatory fairy shrimp from desert pools in north america. Unlike most fairy shrimp, it actively hunts other small crustaceans and insect larvae in ephemeral aquatic habitats.	Raptor fairy shrimp	2025-07-09 19:57:28	Branchinectidae	Predatory fairy shrimp from desert pools in North America

209	Branchinecta readingi	provide a complete scientific and natural history summary of Branchinecta readingi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta readingi is a rare fairy shrimp found in seasonal pools of the southwestern u.s. It is adapted to transient wetland conditions, developing rapidly after rain events in arid environments.	Reading fairy shrimp	2025-07-09 19:57:28	Branchinectidae	Rare fairy shrimp found in seasonal pools of the southwestern U.S

210	Branchinecta sandiegonensis	provide a complete scientific and natural history summary of Branchinecta sandiegonensis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta sandiegonensis, the san diego fairy shrimp, is a federally endangered species restricted to vernal pools in southern california. It is highly specialized for ephemeral wetlands and vulnerable to habitat loss.	San diego fairy shrimp	2025-07-09 19:57:28	Branchinectidae	The San Diego fairy shrimp, is a federally endangered species restricted to vernal pools in southern California

211	Branchinecta tolli	provide a complete scientific and natural history summary of Branchinecta tolli, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Branchinecta tolli is a fairy shrimp species found in cold, ephemeral pools of high-altitude regions. It survives by producing drought-resistant cysts that remain viable in dry sediment. Adults swim on their backs, filter-feeding on algae and microorganisms.	Tolli's fairy shrimp	2025-07-09 19:57:28	Branchinectidae	Fairy shrimp species found in cold, ephemeral pools of high-altitude regions

212	Brasiella argentata	provide a complete scientific and natural history summary of Brasiella argentata, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Brasiella argentata is a species of tiger beetle typically found in sandy soils, riverbanks, or disturbed open habitats. It is an agile ground-dwelling predator that relies on excellent vision and rapid running to ambush or chase down small arthropod prey. Adults are often active in sunlight and play a role in controlling insect populations in their microhabitats.	Silver tiger beetle	2025-07-09 19:57:28	Carabidae	An agile ground-dwelling predator that relies on excellent vision and rapid running to ambush or chase down small arthropod prey.

213	Brasilentulus africanus	provide a complete scientific and natural history summary of Brasilentulus africanus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Brasilentulus africanus is a minute, eyeless proturan native to African soil habitats. It is part of the order Protura and is often found in leaf litter and humus-rich environments. This species feeds on fungal hyphae and organic particles, contributing to soil microbial dynamics. It is not a springtail, though it shares a similar microhabitat.	African proturan	2026-03-05 22:10:35	Acerentomidae	Proturan from African soil; lacks wings and eyes, and feeds on fungi and detritus.

214	Brochymena quadripustulata	provide a complete scientific and natural history summary of Brochymena quadripustulata, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Brochymena quadripustulata, the rough stink bug, is a predatory shield bug found on trees and shrubs. Unlike plant-feeding stink bugs, it feeds on other insects and contributes to natural pest control.	Four humped stink bug	2025-07-09 19:57:28	Pentatomidae	The rough stink bug, is a predatory shield bug found on trees and shrubs

215	Brumoides suturalis	provide a complete scientific and natural history summary of Brumoides suturalis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Brumoides suturalis, also known as the striped ladybird beetle, is a small predatory coccinellid native to Asia. It occurs in gardens, agricultural fields, and forest edges, where it actively preys on aphids, mealybugs, and scale insects. Due to its voracious appetite and adaptability, it is widely employed in biological control programs to manage pest populations on crops and ornamentals.	Three striped lady beetle	2025-07-09 19:57:28	Coccinellidae	Also known as the striped ladybird beetle, is a small predatory coccinellid native to Asia

216	Brunneria borealis	provide a complete scientific and natural history summary of Brunneria borealis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Brunneria borealis, the brunner's mantis, is a rare north american mantid known for reproducing through parthenogenesis. It inhabits grassy areas and ambushes prey using its elongated body for camouflage.	Northern stick insect	2025-07-09 19:57:28	Mantidae	The Brunner's mantis, is a rare North American mantid known for reproducing through parthenogenesis

217	Bubas bison	provide a complete scientific and natural history summary of Bubas bison, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Bubas bison is a robust dung beetle found in grasslands and pastoral regions of europe and asia. It buries and consumes dung, forming brood balls in which larvae develop. This behavior recycles nutrients and aerates soil, making it an important component of terrestrial nutrient cycles.	Mediterranean dung beetle	2025-07-09 19:57:28	Scarabaeidae	Robust dung beetle found in grasslands and pastoral regions of Europe and Asia

218	Buenoa antigone	provide a complete scientific and natural history summary of Buenoa antigone, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Buenoa antigone is an aquatic backswimmer in the family notonectidae, common in still or slow-moving freshwater habitats. It swims upside down using oar-like hind legs and preys on mosquito larvae and small invertebrates. Air trapped under its wings allows submerged respiration. Nymphs and adults both display predatory behaviors.	Antigone backswimmer	2025-07-09 19:57:28	Notonectidae	N aquatic backswimmer in the family Notonectidae, common in still or slow-moving freshwater habitats

