#==============================================================================#
#                                   ENGLISH                                    #
#==============================================================================#
#                                                                              #
# GENERAL NOTES                                                                #
# Feel free to edit this file to change the text displayed during the game.    #
# However, be careful with changing button texts. Some buttons do scale to     #
# their text size, others don't. So, if you happen to notice ill behavior,     #
# try to shorten your button text.                                             #
# Many of the texts and phrases given here have wildcard symbols: %s and %d.   #
# %s represents a string (text) that the wildcard will be replaced with in     #
# the game. %d represents a number. DO NOT delete or add any wildcards by      #
# yourself! Also, be sure to check what these wildcards represent if you       #
# like to change a phrase with wildcards.                                      #
# Some of the phrases contain HTML code. If you know how to write HTML code,   #
# feel free to change whatever you like, but DO NOT remove or add <html> tags. #
# Also note that Java only supports HTML 3.01 and just some of the basic CSS   #
# elements. You'll need to experminent a bit to receive best results.          #
# Finally, like you've probably noticed already, lines starting with '#' and   #
# empty lines in this document will be ignored by the game.                    #
#                                                                              #
#==============================================================================#
#
# All available languages.
# Please add a line for each newly added language in each language file.
# NOTE! Each language needs to be made out of two characters, preferrably
# using the international standard abbreviation.
# NOTE! The game will crash if the file name and the abbreviation provided
# here do not match.
#

de	German
popupLoanInfo			<b style="color:navy;">%s</b> has <b>%s</b>.
popupOccupied			%s is here at the moment.
popupOffered			<b>Offered Good:</b> %s
popupPaybackInfo		You've got <b>%s</b>. This is enough to pay back up to <b>%s</b>. How many do you want to pay back?
popupPicketLine			Now, take an Offer.
popupVacantSpaces		Please select from the list below the player that you want to play for.
popupWorkersCottages	As the owner of the Workers' Cottages, you now have two main actions.

popupEmporium			<b>%s costs %s, %s costs %s,<br>all the other goods costs %s each.</b>
popupFleaMarket			Select the Offer you want to take.
popupTradingFirm		<b>The total value of all goods must be %s.</b>
popupWoodenCrane		As the owner of the Wooden Crane, you are allowed to replace one token of any one
						building material with Wood. Select the good to replace from the list below or
						cancel if you don't want to exchange anything.

#
# Menu names.
#

menuLanguage	Language
menuGame		Game
menuHelp		?

menuBuild		Build
menuEnter		Enter
menuBan			Ban
menuBuy			Purchase
menuSell		Sell
menuInfo		Details
menuTake		Take
menuPayback		Pay back
menuSpecial		View

#
# Menu item names.
#

itemAbout			About JLeHavre...
itemDumpState		Dump Game State
itemGlobalUndo		Refresh Game State
itemInstructions	Instructions
itemOpenChat		Open Chat Window
itemSaveState		Save Game State
itemSettings		Change Settings

#
# Text visible in the login window.
#

loginTitle	%s - Login
loginGame	Game Name:
loginAddr	Bind IP Address:
loginName	Your Username:
loginLoad	Load Game
loginJoin	Join Game

loginInstructions
	<h1>The Login Window</h1>
	<p>This window consists of three elements:</p>
	<ul><li>the menu bar</li><li>the logo image</li><li>the login area</li></ul>
	<p>Here is a short description of these elements.</p>
	<h2>Choice of Language</h2>
	<p>You'll find the available languages in the language menu. They are read
	automatically from the language file folder. If you change the language, the
	game restarts, because the language data needs to be read again. This is the
	reason why you can't change the language once you've logged into the game.
	So choose carefully when selecting the language before you start the game.</p>
	<h2>The Login Area</h2>
	<p>The login area consists of four parts:</p>
	<ul><li>input field for the name of the game</li>
	<li>input field for a preset IP address</li>
	<li>input field for the player's name</li>
	<li>two buttons</li></ul>
	<p>The data you enter here will be saved on your computer and read the next time
	you open the game. Please note, however, that if you start a parallel game with
	other data on the same computer, the data will be overwritten by the second instance
	of the game. This won't affect the running games, but you'll need to enter the data
	you wish again next time you create a game.
	<h2>The Name of the Game</h2>
	<p>You can enter any name here with some restrictions that are mentioned below.
	If there is already a game with this name created in your local area network, you'll
	join this game and will be able to take part. There is no way to just watch a game,
	however. If the game has already been started or if there are already the maximum
	number of players logged into the game, you can't enter.</p>
	<p>If there is no game with this name, it will be created automatically and your
	opponents will be able to join you. They just need to enter the same name for their
	game. The default name is 'Le Havre', but you can change it to whatever fits your
	taste.</p>
	<p>You don't need a network running to play <b>Le Havre</b>. If you want to play a
	multiplayer game on the same computer, just start the game multiple times. Please note,
	however, that the game will be running in multiple windows and you'll need to organize
	them yourself.</p>
	<h2>The Preset IP Address</h2>
	<p>Usually, you won't need to enter a value here and may leave this field blank.
	If your computer supports multiple networks, however, it might be necessary to enter
	your LAN IP address manually into this field to ensure that the computers will find
	each other. You'll know that you failed to connect with other players if you're the
	only one in the Lobby Window. Please consult the internet or a more experienced player
	to learn how to get your IP address.</p>
	<p>If you want to play over the internet via <b>Hamachi</b>, you need to enter your
	Hamachi IP address here to get a game running. Please note, there have been multiple
	problems with Hamachi if you've got a WLAN connection to the internet. Such problems
	may occur in the middle of the game and there is no way to fix them. This is a problem
	with Hamachi only and not the game itself.</p>
	<h2>The Player's Name</h2>
	<p>You can choose any name to represent yourself in the game. There are only a few
	restrictions mentioned below. Although technically possible, I wouldn't recommend
	two players using the same username.</p>
	<h2>Restrictions on Names</h2>
	<p>You can enter any names that follow these restrictions:</p>
	<ul><li>It may not be longer than 20 characters.</li>
	<li>You may not use any characters other than letters, numbers, underscore, blank and minus.</li></ul>
	<p>If you don't follow these restrictions, you'll get an error message when you try to
	log into the game. If you get such an error message and you've loaded a savegame, you
	won't need to load the savegame again.</p>
	<h2>The Buttons</h2>
	<p>At the bottom of the window you'll find two buttons. The left one allows you to
	<b>load a savegame</b> and continue the saved game. The right button <b>logs you into the game</b>.
	If there is a game with the given name already created, you'll join it. If you load a savegame
	or if you enter a running game where a player is missing, you'll be asked to select your seat
	and continue the game.</p>
	<p><b>Please note!</b> You can't load a savegame if there is a game currently running under
	the same name. In this case you'll join the running game rather than the savegame.</p>

#
# Text visible in the lobby window.
#

lobbyTitle			%s - Manager
lobbyChoiceTitle	Choice of Color
lobbyChoiceDescr	Choose a color:
lobbyLoginArea		Logged In Players
lobbyStart			Ready
lobbyStartLong		Start the Long Game
lobbyStartShort		Start the Short Game

lobbyFormat		<html><b>%s</b><html>
lobbyBonus		Set Extra Goods
lobbyBonusInfo	Click here to set additonal goods for this player at the beginning of the game.
lobbyColor		Player Color
lobbyColorInfo	Double-click to change the color.
lobbyIndex		Seat Number
lobbyIndexInfo	You can set the turn order here. Select <b>'?'</b> to create a random one.

lobbyInstructions
	<h1>The Lobby Window</h1>
	<p>This window consists of three elements:</p>
	<ul><li>Game Menu</li><li>Lobby Area</li><li>Start Buttons</li></ul>
	<p>Surely, you've noticed that along with this window another one has been openened.
	This window is the chat window and will be explained at the bottom of this page.</p>
	<h2>The Game Menu</h2>
	<p>This menu allows you to change the settings of the game. These are the game elements
	that can be changed in the <b>Settings Window</b>:</p>
	<ul><li>You can change the order of the <b style="color:green;">Supply Tokens</b>
	partly or entirely. Also, you can set some of the tokens to be visible from start.</li>
	<li>Then, you can ban certain or all of the <b style="color:green;">Special Buildings</b>.
	Also, you can set their position within the special buildings stack, or use some of them
	as additional start buildings.</li>
	<li>Further, you can define which building stack certain <b style="color:green;">Standard
	Buildings</b> will be placed in. Within these, they will be ordered according to the rules.</li>
	<li>Another possible setting is to change the amount of <b style="color:green;">Goods</b>
	displayed at the beginning of the game. If you do not enter any value at specific goods,
	they will be laid out in the default amount defined in the rules.</li>
	<li>A last thing you can change is the maximum amount of goods you'll get from a visit of
	the Marketplace in the <b style="color:green;">Solo Game</b>. Also, if you wish to always
	see the current victory points of each player, check the apporpriate box.</li>
	<p>You can save the settings to a file and re-use them in future games. Please note, however,
	if you load the settings from a file, they only will be displayed in the editor at first.
	To actually use them you need to hit the <b>Apply</b> button.</p>
	<p><b>Attention!</b> Only the first player that logged into the game can perform changes
	on the settings. Use the chat window to discuss any changes so that everyone agrees upon them.</p>
	<h2>The Lobby Area</h2>
	<p>Here you can see who has already joined the game. Each player will be displayed in a single
	line. Such a line consists of the following elements:</p>
	<ul><li>The Seat Position</li><li>The Player's Name</li><li>The Player's Color</li>
	<li>A Button for Additional Goods</li></ul>
	<p>Only the game initiator will be able to change these values.</p>
	<h3>The Seat Position</h3>
	<p>You can preset the play order by selecting a seat position for every player.
	Use the chat to discuss a preferred play order or let the game randomly decide it.</p>
	<p>A <b>?</b> is used to assign a random position to a given player. The game will then
	assign the preset positions first and then randomly place the remaining players.</p>
	<p>If you assign the same seat number for two or more players, the order between them
	will be determined randomly. Note, however, that this order will have a higher priority
	than all of the '?'.</p>
	<p>Don't worry about selecting a seat number that doesn't exist (like seat 5 with 3 players).
	These players will be positioned correctly at the end of the play order.</p>
	<h3>The Player Color</h3>
	<p>As anything in the lobby window, the player color also can only be changed by the
	game initiator. Use the chat to tell him which color you prefer. However, you can't assign
	the same color to more than one player, or you'll get an error message if you try to start
	the game. Only after all colors have been properly set, you can start the game.</p>
	<h3>Additional Goods</h3>
	<p>Usually, you won't need to set additional goods, but you can if you like start with more or
	less than usual if you play with unexperienced players. Leave a field blank if you don't want
	to change its default value. Enter a 0 explicitely, if you don't want to get this good.</p>
	<p>As with everything, only the game initiator can perform these changes and should discuss
	them via the chat window with the other players. In any case, all players will be informed
	by the system about any changes the game initiator does in the lobby.</p>
	<h2>The Start Buttons</h2>
	<p>There are two buttons to start the game. Use the left one to start a <b style="color:navy;">Long
	Game</b> and the right one to start <b style="color:navy;">Short Game</b>. However, only the game
	initiator will see these buttons. Every other player has only one button to notify the game initiator
	that he's ready to start. Every player needs to hit this button before the game initiator can start
	the game.</p>
	<p>Again, use the chat window to agree upon a type of game and let the game initiator start it
	by hitting the appropriate button.</p>
	<h1>The Chat Window</h1>
	<p>The chat window opens automatically when logging into the game and whenever a message
	comes in. You can close it if you like and re-open through the game menu. It is used to
	enable the players to communicate with each other during the game, as well as display
	system messages like what a player currently does (like which building he enters).</p>
	<p>New messages will be added to the end of the chat window and it'll scroll automatically to
	the newest message. Also, the messages are color coded. You'll see your own messages in red,
	other players' messages in black and system notifications in blue.</p>
	<p>The chat window doesn't have any special abilities. There are no implemented smilies or
	special commands but the one you probably know from <b>Brettspielwelt</b> that allows you to
	suppress the colon. Start your message with a colon to do so.</p>

#
# Text visible in the chat window.
#

chatTitle	%s - Chat
chatIntro	Chat started...

#
# Text visible in the settings window.
#

setTitle			Settings
setSpecTitle		Special Buildings
setSupTitle			Supply Chits
setSupOpen			visible
setStdTitle			Standard Building
setGoodsTitle		Start Goods
setExtraTitle		Extras
setLoansOption		Loan Variant
setPointsOption		Visible Score

setSpecDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	You can select here which special buildings may be used in the game.
	Uncheck buildings you don't want to come into play. If you like,
	select a position within the special buildings stack. Select '<b>?</b>'
	for a random selection or '<b>start</b>' to use it as a starting building.
	</div>
	</html>
setSpecCheck	If checked, this building might come into play.
setSpecList		Select the position of the building within the special buildings stack or use it as a starting building.
setSpecBase		Basegame
setSpec2008		Essen 2008
setSpecLGH		Le Grand Hameau

setSupDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	You can select here which order the supply chits will come into play.
	Select '<b>?</b>' from the list for a random selection. Check the box
	to reveal a chit at the beginning of the game.
	</div>
	</html>
setSupCheck		Check this box to reveal the supply chit at the beginning of the game.
setSupList		Select the position of the supply chit.

setStdDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	You can select here which standard buildings will be used in the game.
	Uncheck buildings you don't want to use, although they usually come into
	play. Select which building stack to put a building into at the beginning
	of the game. Select '<b>?</b>' for a random selection or '<b>start</b>' to
	use the building as a starting building.
	<b style="font-variant:small-caps;">Experiment at your own risk!</b>
	</div>
	</html>
setStdCheck		Check this box to use this building in the game.
setStdList		Select the building stack or use the building as a starting building.
setStdOverride	Check this box to force the game to use the selected buildings
				even if you're playing with less than 4 players.

setGoodsDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	You can change the amount of goods in the offers at the beginning of the game.
	You need to explicitely enter a number to set the amount to the entered value,
	unless you don't want to change it. For instance, if you want there to be no
	fish at the beginning of the game, you need to enter 0, explicitely.
	</div>
	</html>
setExtraDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	Set a limit for the <b>Marketplace</b> in solo games.<br>
	It is recommended to set a limit.
	</div>
	</html>
setLoansDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	Set if you want to play the <b>Loan Variant</b>. Pay 2 francs of interest
	if your number of loans is greater than or equal to the number of players.
	</div>
	</html>
setPointsDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	Set if you want to have the <b>Victory Points</b> displayed during the game.<br>
	It is recommended to hide them.
	</div>
	</html>
setExtraList	Select the maximum amount of goods.

#
# Text visible in the bonus window.
#

bonusTitle		%s - Additional goods
bonusDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Set additional goods</h1>
	<p>You can set the amount of goods <b>%s</b> will get at the beginning of the game, here.
	Leave a field blank if you want to use the default value for a specific good.</p>
	</div>
	</html>

#
# Text visible in the food payment window.
#

foodTitle		Food
foodDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Pay the food demand</h1>
	<p>At the end of each round, everyone needs to pay food. You need to still pay
	<b>%s</b>. Enter in the fields below how many goods of each type you want
	to pay with. You can still sell buildings in the main window, if you like.
	If you don't and you're lacking food, you'll need to take loans.</p>
	</div>
	</html>

#
# Text visible in the interest window.
#

moneyTitle		Interest
moneyDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Pay the interest</h1>
	<p>You've got <b>%s</b> and need to pay <b>%s</b> of interest.
	If you own any buildings or ships, you can sell them in the main window to
	get the amount needed, or pay back all loans. Hit the button if you're done
	with that or if you don't want to sell or pay back anything.</p>
	</div>
	</html>

#
# Text visible in the entry payment dialog.
#

entryTitle		Entry
entryDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Pay the entry fee</h1>
	<p>You need to pay entry to the owner of this building!
	You need to pay <b>%s</b>. Enter in the fields below which
	goods you want to satisfy the demand with and hit the button.</p>
	</div>
	</html>

#
# Text visible in the energy payment dialog.
#

energyTitle		Energy
energyDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Pay %s</h1>
	<p>You need to pay <b>%s</b> for this action. Enter in the fields below
	which goods you want to satisfy the demand with and hit the button.</p>
	</div>
	</html>

#
# Text visible in the process dialog.
#

processTitle	Process goods
processDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Process goods</h1>
	<p>Enter in the field below how many units of <b>%s</b> you want to
	process into <b>%s</b> each and hit the button.</p>
	</div>
	</html>

#
# Text visible in the choice dialog.
#

choiceTitle		Select goods
choiceDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Select goods</h1>
	<p>Enter in the fields below how many goods of each type you want to %s.
	You need to select at least %d and %d at most.</p>%s
	</div>
	</html>
choiceDescr2
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Select goods</h1>
	<p>Enter in the fields below how many goods of each type you want to %s.
	You need to select exactly %d.</p>%s
	</div>
	</html>

#
# Text visible in the marketplace dialog.
#

marketTitle			Special buildings
marketDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>The topmost special buildings</h1>
	<p>These are the two topmost cards of the special buildings stack.
	The left building will come into play %s.%s The right one will be built %s.%s
	Double-click the special building you want to be the next one to come
	into play.</p>
	</div>
	</html>

#
# Text visible in the handcards dialog.
#

cardsTitle		Your hand cards
cardsInfo		The next player to enter the Construction Site selects one of their hand cards
cardsChoose		Double-click on one of your hand cards you see below
cardsDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Your hand cards</h1>
	<p>The Construction Site is in play. Therefore each player has got three special
	buildings. %s. This one will come into play. Afterwards, all the other hand cards
	and the Construction Site will be removed from the game.</p>
	</div>
	</html>

#
# Text visible in the scoring window.
#

scoreTitle		Scoring
scorePoint		victory point
scorePoint2		victory points
scorePoint5		victory points
scoreDescr
	<html>
	<div style="font-family:sans-serif; padding-bottom:30px; text-align:center;">
	<h1>Final Results</h1>
	<p>The game is over!<br>
	%s %s with <b>%s</b>.</p>
	</div>
	</html>

#
# Text visible in the debug window.
#

dumpTitle	Current Game State
dumpDescr
	<html>
	<h1>Current Game State</h1>
	<p>This is a list of all game objects and their current states.
	In case of a bug, please copy this list and save it to a text file.
	Send this text file along with the log file to <b>kobiela@gmx.de</b>.
	You need to close the window properly to get a valid log file.</p>
	<h2 style="margin-bottom:10px;">Thank you for your time and help!</h2>
	<pre style="color:navy;">%s</pre>
	</html>

#
# The player colors.
#

colorBlue	blue
colorGreen	green
colorPurple	purple
colorRed	red
colorWhite	white

#
# The Buildings.
#

buildingB1		Building Firm #1
descriptionB1	Build 1 Building.

buildingB2		Building Firm #2
descriptionB2	Build 1 Building.

buildingB3		Construction Firm
descriptionB3	Build 1 or 2 buildings.

building_00		Dunny
description_00	As soon as the Dunny is turned over
				place it on the building proposal pile
				with the highest number card on top.

building_01		Marketplace
description_01	Take (2 + #Craft symbols) different
				standard goods, including hides
				and coal but not francs.
				Look at the top 2 special buldings
				and return them in any order.

building_02		Sawmill
description_02	Build 1 building that requires
				Wood, for 1 fewer Wood.

building_03		Fishery
description_03	Take (3 + #Fisherman) Fish.

building_04		Joinery
description_04	Sell 1, 2, or 3 Wood
				for 5, 6, or 7 Francs,
				respectively.

building_05		Bakehouse
description_05	For 1/2 energy per Grain,
				turn in any number of Grain for
				1 Bread and 1/2 Franc each.

building_06		Hardware Store
description_06	Take 1 Wood, 1 Brick, and 1 Iron.

building_07		Charcoal Kiln
description_07	Turn in any number of Wood
				for 1 Charcoal each.

building_08		Smokehouse
description_08	For 1 energy, turn in up to
				6 Fish for 1 Smoked Fish
				and 1/2 Franc each.

building_09		Abattoir
description_09	Turn in any number of Cattle for
				1 Meat and 1/2 Hide each.

building_10		Clay Mound
description_10	Take (3 + #Hammer) Clay.

building_11		Arts Centre
description_11	Take 4 Francs for each other player
				in one of your buildings.

building_12		Wharf
description_12	<b>Build 1 ship.</b>
				The first player to build a non wooden
				ship at a particular Wharf must place
				an additional brick on the Wharf
				to modernise it.

building_13		Black Market
description_13	Take 2 tokens of each type whose
				Offer Space is empty (including Francs).

building_14		Brickworks
description_14	For 1/2 energy per Clay, turn in any
				number of Clay for 1 Brick
				and 1/2 Franc each.

building_15		Local Court
description_15	If you have 1 loan, return it.
				If 2 loans, return 1 and take 2 Francs.
				If 3 or more loans, return 2 of them
				or return 1 and take 2 Francs.

building_16		Colliery
description_16	Take 3 Coal,
				and if you have at least one Hammer,
				take 1 additional Coal.

building_17		Wharf
description_17	<b>Build 1 ship.</b>
				The first player to build a non wooden
				ship at a particular Wharf must place
				an additional brick on the Wharf
				to modernise it.

building_18		Shipping Line
description_18	For 3 energy per ship,
				sell goods for Francs (note ship load limits).
				Beware of the Pirates' Lair!

building_19		Grocery Market
description_19	Take 1 Cattle, 1 Meat, 1 Fish,
				1 Smoked Fish, 1 Grain, and 1 Bread.

building_20		Tannery
description_20	Turn in up to 4 Hides for
				1 Leather and 1 Franc each.

building_21		Business Office
description_21	Turn in any 4 goods for 1 Steel
				and/or 1 good for either 1 Charcoal,
				Leather, or Brick.

building_22		Ironworks
description_22	Take 3 Iron, and choose whether to pay
				6 energy for 1 additional Iron.

building_23		Steel Mill
description_23	For 5 energy per Iron, turn in
				any number of Iron for 1 Steel each.

building_24		Storehouse
description_24	Value increases by 1/2 Franc for each good.

building_25		Cokery
description_25	Turn in any number of Coal
				for 1 Coke and 1 Franc each.

building_26		Dock
description_26	Value increases by 4 Francs for each ship.

building_27		Bridge over the Seine
description_27	Get 1 Franc for each upgraded good
				or for any 3 standard goods.

building_28		Town Hall
description_28	At game end, the card value increases by:
				4 Francs for each Public building;
				2 Francs for each Craftsman’s Building.

building_29		Bank
description_29	At game end, the card value increases by:
				4 Franc for each industrial Building;
				2 Franc for each Economic Building.

building_30		Church
description_30	Turn 5 Bread and 2 Fish
				into 10 Bread and 5 Fish.

building_31		Football Stadium
description_31	Can be bought at any time.
				Can only be built after
				one of the Building Proposals
				spaces has been emptied.

building001		Labour Exchange
description001	Take 1 Fish per Fisherman,
				take 1 Coal per Hammer.

building002		Bakery
description002	Turn in up to 6 Bread for 3 Francs each.

building003		Baguette Shop
description003	Turn in up to 4 Bread/Meat pairs
				 for 6 Francs per pair.

building004		Farm
description004	Take 2 Fish, 2 Grain, 2 Wood,
				1 Hide, and 1 Cattle.

building005		Clothing Industry
description005	Turn in any number of Hide/Leather pairs
				for 7 Francs per pair.

building006		Iron Mine and Coal Seam
description006	Take 2 Iron and 1 Coal.

building007		Fish Market
description007	Turn in up to 7 Fish for 2 Francs each.

building008		Fish Restaurant
description008	Turn in any number of Smoked Fish
				for 3 Francs each.

building009		Fishpond and Wood
description009	Take 3 Fish and 3 Wood.

building010		Forest Hut
description010	Turn in up to 4 Wood/Meat pairs
				for 5 Francs per pair.

building011		Plant Nursery
description011	Take 3 Francs and 4 Wood.

building012		Business Park
description012	At game end, the card value increases by:
				2 Francs per Industrial building

building013		Guildhouse
description013	At game end, the card value increases by:
				2 Francs per Economic building

building014		Harbour Watch
description014	Pay 1 Franc to another player
				to remove them from a building.
				Enter that building, and,
				if required, pay the Entry fee.

building015		Smelter
description015	Take 1 Coal, 1 Coke, and 1 Iron.

building016		Diner
description016	Turn in up to
				3 Wood/Bread/Smoked Fish sets
				for 8 Francs per set.

building017		Hunting Lodge
description017	Take 2 Hides and 3 Meat.

building018		Coal Trader
description018	Turn in 1 Food for 1 Charcoal (max once)
				and/or 2 Food for 1 Coal (max 5 times).

building019		Patisserie
description019	Turn in up to 3 Grain/Bread pairs
				for 5 Francs per pair.

building020		Furriery
description020	Turn in 1 Leather for 5 Francs (max twice)
				and/or 1 Hide for 1 Bread (no max).

building021		Leather Industry
description021	Turn in 3 Leather and 14 Francs
				for 30 Francs.

building022		Kiln
description022	Turn in 1 Clay and 1 Energy
				for 3 Bricks.

building023		Luxury Yacht
description023	A player who enters a Wharf may swap 
				his/her iron ship for a Luxury Yacht
				Alternatively, a player may buy
				the Luxury Yacht.
				The Yacht provides no food and
				cannot ship any goods for the Shipping Line.
			
building024		Feedlot
description024	If the owner has 2-6 Cattle,
				they get an additional Cattle during a Harvest.

building025		Masons' Guild
description025	The owner pays 1 fewer Clay or Brick
				to build a building.

building026		Furniture Factory
description026	Turn in any number of Wood/Leather pairs
				for 6 Francs per pair.

building027		Town Square
description027	Take 1 different upgraded good (not Steel)
				for each owned Craftsman’s Building.

building028		Tavern
description028	Turn in up to 4 Wood/Grain pairs
				for 3 Francs per pair.

building029		Haulage Firm
description029	Pay 3 Francs to take all the goods
				from 2 adjoining Offer spaces (not Francs).

building030		Schnaps Distillery
description030	Turn in up to 4 Grain for 2 Francs each.

building031		Steelworks
description031	Turn in 1 Iron and 15 Energy
				for 2 Steel.

building032		Steakhouse
description032	Turn in up to 4 Meat/Charcoal pairs
				for 6 Francs per pair.

building033		Wind Farm
description033	Receive a discount of 3 Energy
				when using Energy as
				part of a Main action.

building034		Brick Manufacturer
description034	Turn in 3 Brick and 10 Francs
				for 24 Francs.

building035		Zoo
description035	Take 1/3 Franc for
				each Fish and/or Cattle.

building036		Workers' Cottages
description036	The owner of this card has 2 Main actions
				instead of 1 during the Final Stage.
				He performs the actions one after another.

building037		Construction Site
description037	Deal each player a hand of 3 Special Buildings
				The first player to enter the Construction
				Site exchanges it for one of the 3 Special
				Buildings in his/her hand and
				uses that building, if possible.
				The player can only avoid paying the Entry Fee
				if he/she buys the building.
				After this, all players discard their hand
				of special building cards.

building038		Logging Camp
description038	Turn in up to 7 food for 1 wood each.

building039		MS Dagmar
description039	A player who enters a modernised Wharf
				may swap his/her Luxury Yacht
				for the MS Dagmar. Alternatively, a player
				may buy the MS Dagmar.
				The MS Dagmar is treated as a Luxury Yacht.

building040		Pawnbrokers'
description040	Pile different goods from your Supply
				on the Pawnbrokers, and take 2 Francs
				good. You can redeem your goods at any
				time (2 Francs per good).
				You need not visit the Pawnbrokers to
				redeem goods.

building041		Pirate's Lair
description041	The player that owns Pirate's Lair
				receives 1 Franc from each ship that
				sails the Shipping Line.

building042		Junkyard
description042	Turn in 2 food for 1 iron (max 5 times).

building043		Dive Bar
description043	When a player is sent home, he goes to
				the Dive Bar and pays 2 Francs to the
				Treasury. The owner of the Dive Bar
				only pays 1 Franc.

building044		Picket Line
description044	Take the tokens from one Offer space.
				In their next turn, all other players
				must also take tokens from Offer spaces
				as their Main Action. After that, the
				Picket Line is removed from the game.
				(The Picket line can no longer be entered
				from the start of the last Round.)

building045		Tabacco Factory
description045	The owner of the Tobacco Factory may
				remove players from his/her buildings
				during his/her turn.

building046		Cattle Drive
description046	Each other player who has at least
				1 cattle must give you 1 cattle.
				In a 2 player game, you recieve
				2 Cattle from your opponent.

buildingGH01	Wooden Crane
descriptionGH01	The owner may replace one token of any one building
				material with Wood when constructing a building.
				
buildingGH02	Lumber Mill
descriptionGH02	The owner pays 1 less Wood to build each building.

buildingGH03	Main Station
descriptionGH03	When leaving the Main Station, visit two different
				buildings, one after another, without paying the
				Entry costs. You may not return to the Main Station
				as one of these visits. You can't be banned from the
				Main Station. (no action on entry)

buildingGH04	Hotel
descriptionGH04	While occupying the Hotel, you get 3 Francs from the
				Treasury each time you take an Offer. You can't be
				banned from the Hotel. (no action on entry)

buildingGH05	Fur Factory
descriptionGH05	For each Leather you own: Turn in up to 2 Hides
				for 4 Francs each.

buildingGH06	Wainwright's
descriptionGH06	For each Iron you own: Turn in 2 Wood for 5 Francs.

buildingGH07	Fisherman's Hut
descriptionGH07	The owner gets 1 Fish (2 Fishes with 1-2 players)
				from the Supply at the end of each round.
				As an action, turn in 2 Fishes for 3 Fishes,
				unlimited.

buildingGH08	Soup Kitchen
descriptionGH08	Provides Food at the end of the round:
				5/4/3/2/1 Food with 1/2/3/4/5 players.

buildingGH09	Cattle Market
descriptionGH09	Either: turn in up to 7 Francs for 1 Cattle each.
				Or: turn in up to 7 Cattle for 3 Francs each.

buildingGH10	Brick Trader
descriptionGH10	Either: turn in up to 5 Francs for 1 Brick each.
				Or: turn in up to 5 Bricks for 3 Franc each.
				
buildingGH11	Clay Company
descriptionGH11	Turn in any number of Clay/Wood pairs for
				3 Francs per pair.
				
buildingGH12	Smelting Furnace
descriptionGH12	For 2 Energy per Clay, turn in any number of
				Clay for 1 Iron each.

buildingGH13	Flea Market
descriptionGH13	Take an Offer with exactly 2 tokens and,
				also, all Offers with exactly 1 token.

buildingGH14	Inn
descriptionGH14	Turn in any number of Fish for 1 Smoked Fish each,
				and/or turn in up to 2 Meat for 4 Francs each.

buildingGH15	Cannery Row
descriptionGH15	Turn in 1 Iron and 4 Smoked Fishes for 18 Francs,
				and/or turn in 1 Iron and 3 Meat for 16 Francs.

buildingGH16	Hides Trader
descriptionGH16	Turn in exactly 6 Hides for a total of 18 Francs.

buildingGH17	Fur Industry
descriptionGH17	Turn in 3 Hides and 10 Francs for 22 Francs.

buildingGH18	Department of Agriculture
descriptionGH18	Take 1 Meat per owned Economic symbol, and 1 Bread
				per owned Craftman's symbol.

buildingGH19	Department of Economics
descriptionGH19	Take 1 Iron per owned Industrial symbol, and
				2 Francs per owned Economic symbol.

buildingGH20	Stockmarket
descriptionGH20	The owner gets 1 Franc from the Treasury
				whenever an opponent takes the Franc Offer;
				and 3 Francs, when the Bank is built by an
				opponent. He/she doesn't pay interest
				any more.

buildingGH21	Souvenir Shop
